current_name,states,current_agency,action,date,year,pres_or_congress
Rio Grande del Norte National Monument,New Mexico,BLM,Established,3/25/13,2013,B. H. Obama
Harriet Tubman Underground Railroad National Historical Park,Maryland,"NPS, FWS",Established (NPS and FWS),3/25/13,2013,B. H. Obama
Harriet Tubman Underground Railroad National Historical Park,Maryland,"NPS, FWS",Partially redesignated NHP (NPS),12/19/14,2014,113th Congress
First State National Historical Park,Delaware,NPS,Established,3/25/13,2013,B. H. Obama
First State National Historical Park,Delaware,NPS,Redesignated NHP,12/19/14,2014,113th Congress
Charles Young Buffalo Soldiers Monument,Ohio,NPS,Established,3/25/13,2013,B. H. Obama
Organ Mountains-Desert Peaks National Monument,New Mexico,BLM,Established,5/21/14,2014,B. H. Obama
San Gabriel Mountains National Monument,California,USFS,Established,10/10/14,2014,B. H. Obama
Honouliuli National Monument,Hawaii,NPS,Established,2/14/15,2015,B. H. Obama
Pullman National Monument,Illinois,NPS,Established,2/19/15,2015,B. H. Obama
Browns Canyon National Monument,New Mexico,"BLM, USFS",Established,2/19/15,2015,B. H. Obama
Berryessa Snow Mountain National Monument,California,USFS,Established,07/10/15,2015,B. H. Obama
Waco Mammoth National Monument,Texas,NPS,Established,07/10/15,2015,B. H. Obama
Basin and Range National Monument,Nevada,BLM,Established,07/10/15,2015,B. H. Obama
Mojave Trails National Monument,California,BLM,Established,02/12/16,2016,B. H. Obama
Sand to Snow National Monument,California,USFS,Established,02/12/16,2016,B. H. Obama
Castle Mountains National Monument,California,NPS,Established,02/12/16,2016,B. H. Obama
Belmont-Paul Women's Equality National Monument,"Washington, DC",NPS,Established,04/12/16,2016,B. H. Obama
Stonewall National Monument,New York,NPS,Established,6/24/16,2016,B. H. Obama
Katahdin Woods and Waters National Monument,Maine,NPS,Established,8/24/16,2016,B. H. Obama
Northeast Canyons and Seamounts Marine National Monument,Massachusetts,"NOAA, FWS",Established,9/15/16,2016,B.H. Obama
Bears Ears National Monument,Utah,"BLM, USFS",Established,12/28/16,2016,B. H. Obama
Gold Butte National Monument,Nevada,BLM,Established,12/28/16,2016,B. H. Obama
Birmingham Civil Rights National Monument,Alabama,NPS,Established,01/12/17,2017,B. H. Obama
Freedom Riders National Monument,Alabama,NPS,Established,01/12/17,2017,B. H. Obama
Reconstruction Era National Monument,South Carolina,NPS,Established,01/12/17,2017,B. H. Obama
